# Oś czasu CAN — dosłowne linie z logów terminala z 2026-04-10 (7 plików PQ35_TERMINAL_LOG_*.txt).
# Format: opóźnienie_ms przed wysłaniem ramki | ramka (jak z bridge).
# Opóźnienia z różnic timestampów w obrębie segmentu, skala 0.35, clamp 2–45 ms; między plikami — cięte (nowy segment).

# --- 17:44 — postój, magistrala bez prędkości (brak 0x351/0x359 w tym fragmencie) — PQ35_TERMINAL_LOG_2026-04-10_17-44-59.txt linie 6-95 ---
8|0x151: 00 F0 A8 58
4|0x3C3: 88 82 00 00 80 70 00 85
8|0x65F: 00 00 00 00 00 57 56 57
2|0x42B: 0B 02 00 40 00 00
2|0x527: 10 01 00 60 7A 75 76 00
6|0x42B: 0B 01 00 00 00 00
14|0x151: 00 F0 F8 08
4|0x3C3: 88 82 00 00 80 10 00 E5
30|0x42B: 0B 02 00 40 00 00
4|0x151: 00 F0 48 B8
3|0x3C3: 88 82 00 00 80 B0 00 45
2|0x65F: 01 5A 5A 5A 31 4B 5A 36
10|0x42B: 0B 01 00 00 00 00
15|0x151: 00 F0 98 68
5|0x3C3: 88 82 00 00 80 50 00 A5
26|0x42B: 0B 02 00 40 00 00
5|0x151: 00 F0 E8 18
2|0x3C3: 88 82 00 00 80 F0 00 05
2|0x65F: 02 57 35 33 31 31 33 35
9|0x42B: 0B 01 00 00 00 00
23|0x151: 00 F0 38 C8
2|0x3C3: 88 82 00 00 80 90 00 65
25|0x42B: 0B 02 00 40 00 00
7|0x151: 00 F0 88 78
6|0x3C3: 88 82 00 00 80 30 00 C5
2|0x65F: 00 00 00 00 00 57 56 57
2|0x527: 10 01 00 60 7A 75 77 00
2|0x65D: BE 67 78 04 00 30 59 0D
3|0x42B: 0B 01 00 00 00 00
28|0x151: 00 F0 D8 28
2|0x3C3: 88 82 00 00 80 D0 00 25
17|0x42B: 0B 02 00 40 00 00
16|0x151: 00 F0 28 D8
2|0x3C3: 88 82 00 00 80 70 00 85
2|0x65F: 01 5A 5A 5A 31 4B 5A 36
6|0x42B: 0B 01 00 00 00 00
19|0x151: 00 F0 78 88
2|0x3C3: 88 82 00 00 80 10 00 E5
23|0x42B: 0B 02 00 40 00 00
11|0x151: 00 F0 C8 38
3|0x3C3: 88 82 00 00 80 B0 00 45
2|0x65F: 02 57 35 33 31 31 33 35
2|0x42B: 0B 01 00 00 00 00
27|0x151: 00 F0 18 E8
7|0x3C3: 88 82 00 00 80 50 00 A5
11|0x42B: 0B 02 00 40 00 00
17|0x42B: 0B 01 00 00 00 00
2|0x151: 00 F0 68 98
6|0x3C3: 88 82 00 00 80 F0 00 05
2|0x65F: 00 00 00 00 00 57 56 57
2|0x527: 10 01 00 60 7A 75 76 00
25|0x151: 00 F0 B8 48
7|0x3C3: 88 82 00 00 80 90 00 65
10|0x42B: 0B 02 00 40 00 00
17|0x42B: 0B 01 00 00 00 00
7|0x151: 00 F0 08 F8
2|0x3C3: 88 82 00 00 80 30 00 C5
2|0x65F: 01 5A 5A 5A 31 4B 5A 36
32|0x151: 00 F0 58 A8
2|0x3C3: 88 82 00 00 80 C0 00 35
6|0x42B: 0B 02 00 40 00 00
16|0x42B: 0B 01 00 00 00 00
7|0x151: 00 F0 A8 58
6|0x3C3: 88 82 00 00 80 60 00 95
2|0x65F: 02 57 35 33 31 31 33 35
2|0x527: 10 01 00 60 7A 75 77 00
2|0x65D: BE 67 78 04 00 30 D9 0D
31|0x151: 00 F0 F8 08
2|0x3C3: 88 82 00 00 80 00 00 F5
6|0x42B: 0B 02 00 40 00 00
16|0x42B: 0B 01 00 00 00 00
7|0x151: 00 F0 48 B8
5|0x3C3: 88 82 00 00 80 A0 00 55
2|0x65F: 00 00 00 00 00 57 56 57
32|0x151: 00 F0 98 68
2|0x3C3: 88 82 00 00 80 40 00 B5
2|0x42B: 0B 02 00 40 00 00
28|0x42B: 0B 01 00 00 00 00
2|0x151: 00 F0 E8 18
7|0x3C3: 88 82 00 00 80 E0 00 15
2|0x65F: 01 5A 5A 5A 31 4B 5A 36
26|0x42B: 0B 02 00 40 00 00
7|0x151: 00 F0 38 C8
2|0x3C3: 88 82 00 00 80 80 00 75
15|0x42B: 0B 01 00 00 00 00
17|0x151: 00 F0 88 78
2|0x3C3: 88 82 00 00 80 20 00 D5
2|0x65F: 02 57 35 33 31 31 33 35
28|0x42B: 0B 02 00 40 00 00
7|0x151: 00 F0 D8 28

# --- 17:46 — silnik / turbo na jałowym (0x35B, 0x555, 0x571) — PQ35_TERMINAL_LOG_2026-04-10_17-46-17.txt linie 6-130 ---
8|0x151: 00 F0 48 B8
2|0x3C3: 88 82 00 00 80 70 00 85
2|0x555: E9 51 7E 01 66 00 00 77
2|0x65F: 02 57 35 33 31 31 33 35
2|0x35B: 00 48 0F 95 08 19 C2 26
3|0x42B: 0B 01 00 00 00 00
18|0x151: 00 F0 98 68
2|0x3C3: 88 82 00 00 80 10 00 E5
4|0x555: E9 53 7E 00 66 00 00 77
5|0x35B: 00 44 0F 95 08 19 C2 26
5|0x571: BA 00 00 00 00 00
9|0x42B: 0B 02 00 40 00 00
6|0x151: 00 F0 E8 18
4|0x3C3: 88 82 00 00 80 B0 00 45
7|0x65F: 00 00 00 00 00 57 56 57
2|0x42B: 0B 01 00 00 00 00
29|0x151: 00 F0 38 C8
2|0x3C3: 88 82 00 00 80 50 00 A5
8|0x555: E9 51 7E 03 66 00 00 77
2|0x35B: 00 70 0F 95 08 19 C2 26
11|0x42B: 0B 02 00 40 00 00
8|0x151: 00 F0 88 78
8|0x3C3: 88 82 00 00 80 F0 00 05
9|0x555: E9 52 7E 81 66 00 00 77
2|0x65D: BE 67 78 04 00 30 5B 17
2|0x42B: 0B 01 00 00 00 00
2|0x65F: 01 5A 5A 5A 31 4B 5A 36
2|0x35B: 00 50 0F 95 08 19 C2 26
12|0x151: 00 F0 D8 28
2|0x3C3: 88 82 00 00 80 90 00 65
9|0x555: E9 52 7E 03 66 00 00 77
2|0x35B: 00 48 0F 95 08 19 C2 26
10|0x42B: 0B 02 00 40 00 00
17|0x151: 00 F0 28 D8
2|0x3C3: 88 82 00 00 80 30 00 C5
2|0x42B: 0B 01 00 00 00 00
7|0x555: E9 53 7E 02 66 00 00 77
2|0x65F: 02 57 35 33 31 31 33 35
2|0x35B: 00 5C 0F 95 08 19 C2 26
22|0x151: 00 F0 78 88
2|0x3C3: 88 82 00 00 80 D0 00 25
5|0x555: E9 54 7E 00 66 00 00 77
4|0x35B: 00 54 0F 95 08 19 C2 26
8|0x42B: 0B 02 00 40 00 00
15|0x42B: 0B 01 00 00 00 00
2|0x151: 00 F0 C8 38
2|0x3C3: 88 82 00 00 80 70 00 85
3|0x555: E9 53 7E 00 66 00 00 77
5|0x65F: 00 00 00 00 00 57 56 57
2|0x35B: 00 4C 0F 95 08 19 C2 26
24|0x151: 00 F0 18 E8
5|0x3C3: 88 82 00 00 80 10 00 E5
2|0x555: E9 53 7E 81 66 00 00 77
7|0x42B: 0B 02 00 40 00 00
14|0x42B: 0B 01 00 00 00 00
6|0x151: 00 F0 68 98
3|0x3C3: 88 82 00 00 80 B0 00 45
6|0x555: E9 53 7E 00 66 00 00 77
2|0x65F: 01 5A 5A 5A 31 4B 5A 36
5|0x35B: 00 44 0F 95 08 19 C2 27
16|0x151: 00 F0 B8 48
