ID RAMKI;NAZWA RAMKI;SYGNAŁ (ID);OPIS SYGNAŁU;2026-04-10_17-44-56;2026-04-10_17-46-15;2026-04-10_17-49-39;2026-04-10_18-01-53;2026-04-10_18-14-04;2026-04-10_18-22-55;2026-04-10_18-24-04;unikalne_wartosci (liczba)
0x151;AIRBAG (mAirbag_1);AB1_MessageZaehler;Licznik wiadomości (Alive-Counter);5;5;14;6;6;1;14;4
0x151;AIRBAG (mAirbag_1);AB1_Pruefsumme;Suma kontrolna ramki;168;168;24;152;152;232;24;4
0x2C3;STACYJKA (mZAS_Status);ZS1_ZAS_Kl_15;Zacisk 15 (Zapłon);WŁĄCZONY;WŁĄCZONY;WŁĄCZONY;WŁĄCZONY;WŁĄCZONY;WŁĄCZONY;Wyłączony;2
0x2C3;STACYJKA (mZAS_Status);ZS1_ZAS_Kl_P;Zacisk P (Światła postojowe);Wyłączone;Wyłączone;Wyłączone;Wyłączone;Wyłączone;Wyłączone;WŁĄCZONE;2
0x2C3;STACYJKA (mZAS_Status);ZS1_ZAS_Kl_S;Styk S (Obecność kluczyka);KLUCZYK WŁOŻONY;KLUCZYK WŁOŻONY;KLUCZYK WŁOŻONY;KLUCZYK WŁOŻONY;KLUCZYK WŁOŻONY;KLUCZYK WŁOŻONY;Brak kluczyka;2
0x2C3;STACYJKA (mZAS_Status);ZS1_ZAS_Kl_X;Zacisk X (Przekaźnik odciążający);NAPIĘCIE OBECNE;NAPIĘCIE OBECNE;NAPIĘCIE OBECNE;NAPIĘCIE OBECNE;NAPIĘCIE OBECNE;NAPIĘCIE OBECNE;Brak napięcia;2
0x351;GATEWAY (mGateway_1);GW1_FhzgGeschw_alt;Przestarzała ramka: Prędkość pojazdu;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Przestarzała;2
0x351;GATEWAY (mGateway_1);GW1_FzgGeschw;Prędkość pojazdu;0 km/h;0 km/h;79.04 km/h;76.14 km/h;97.68 km/h;0 km/h;0 km/h;4
0x351;GATEWAY (mGateway_1);KKO_alt_mBSG_Kombi;Przestarzała ramka: mBSG_Kombi;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Przestarzała;2
0x359;HAMULCE / BIEGI (mGW_Bremse);GWB_Alt_1_Bremse;Przestarzała ramka: Bremse 1;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Przestarzała;2
0x359;HAMULCE / BIEGI (mGW_Bremse);GWB_Alt_2_Bremse;Przestarzała ramka: Bremse 2;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Przestarzała;2
0x359;HAMULCE / BIEGI (mGW_Bremse);GWB_Alt_5_Bremse;Przestarzała ramka: Bremse 5;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Przestarzała;2
0x359;HAMULCE / BIEGI (mGW_Bremse);GWB_Alt_FzgGeschw;Przestarzała ramka: Prędkość;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Przestarzała;2
0x359;HAMULCE / BIEGI (mGW_Bremse);GWB_FzgGeschw;Prędkość pojazdu;0 km/h;0 km/h;79.04 km/h;76.29 km/h;97.66 km/h;0 km/h;0 km/h;4
0x359;HAMULCE / BIEGI (mGW_Bremse);GWB_Wegimpuls_Status;Status licznika impulsów drogi;Brak przepełnienia;Brak przepełnienia;Przepełniony (Reset);Przepełniony (Reset);Przepełniony (Reset);Przepełniony (Reset);Przepełniony (Reset);2
0x359;HAMULCE / BIEGI (mGW_Bremse);GWB_Wegimpulse;Impulsy przebytej drogi (Oś przednia);1;1;1516;397;1814;121;123;6
0x35B;SILNIK (mGW_Motor);GWM_Alt_1_Motor;Przestarzała ramka: Motor 1;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Aktualna;Przestarzała;2
